gme,amd,fb,goog,tsla
17.25,92.3,268.94,1728.24,729.77
17.37,92.77,270.97,1740.92,735.11
18.36,90.33,263.31,1735.29,755.98
18.08,95.16,268.74,1787.25,816.04
17.69,94.58,267.57,1807.21,880.02
19.94,97.25,256.84,1766.72,811.19
19.95,95.36,251.09,1746.55,849.44
31.4,91.78,251.64,1754.4,854.41
39.91,90.79,245.64,1740.18,845
35.5,88.21,251.36,1736.19,826.16
39.36,89.45,261.1,1790.86,844.55
39.12,88.75,267.48,1886.9,850.45
43.03,91.53,272.87,1891.25,844.99
65.01,92.79,274.5,1901.05,846.64
76.79,94.13,278.01,1899.4,880.8
147.98,94.71,282.05,1917.24,883.09
347.51,88.84,272.14,1830.79,864.16
193.6,87.52,265,1863.11,835.43
325,85.64,258.33,1835.74,793.53
225,87.66,262.01,1901.35,839.81
90,88.86,267.08,1927.51,872.79
92.41,87.89,266.65,2070.07,854.69
53.5,87.84,266.49,2062.37,849.99
63.77,87.9,268.1,2098,852.23
60,91.47,266.58,2092.91,863.42
50.31,90.91,269.45,2083.51,849.46
51.2,92.35,271.87,2095.38,804.82
51.1,92.66,270.39,2095.89,811.66
52.4,93.77,270.5,2104.11,816.12
49.51,91.46,273.97,2121.9,796.22
